    19.386     -8.930      0.550      0.060     45.310      0.040      0.670      0.080      0.090      1.320      0.100
    19.386     -6.960      0.560      0.070     45.330      0.040      0.580      0.080      0.100      1.100      0.100
    19.386     -4.990      0.430      0.080     45.330      0.050      0.620      0.130      0.120      0.880      0.110
    19.386     -3.020      0.380      0.060     45.320      0.050      0.650      0.120      0.090      0.990      0.090
    19.386     -1.050      0.450      0.050     45.280      0.030      0.610      0.070      0.070      1.900      0.090
    19.386      0.920      0.530      0.050     45.270      0.030      0.620      0.070      0.070      2.010      0.100
    19.386      2.890      0.660      0.050     45.280      0.030      0.750      0.060      0.080      2.730      0.120
    19.386      4.860      0.710      0.340     45.070      0.040      0.420      0.110      0.070      3.590      0.130
    19.386      4.860      0.560      0.110     45.520      0.190      0.770      0.270      0.070      3.590      0.130
    19.386      6.830      1.270      0.090     45.160      0.030      0.470      0.060      0.120      1.560      0.140
    19.386      6.830      0.540      0.100     45.760      0.060      0.450      0.140      0.120      1.560      0.140
    19.386      8.800      1.470      0.130     45.160      0.030      0.430      0.070      0.160      1.090      0.150
    19.386      8.800      0.530      0.120     45.700      0.100      0.470      0.210      0.160      1.090      0.150
    19.386     10.770      1.520      0.150     45.160      0.050      0.450      0.090      0.150      1.120      0.150
    19.386     10.770      0.600      0.190     45.620      0.120      0.410      0.200      0.150      1.120      0.150
    19.386     12.740      1.460      0.080     45.190      0.040      0.570      0.080      0.110      1.510      0.130
    19.386     12.740      0.550      0.210     45.640      0.050      0.320      0.110      0.110      1.510      0.130
    19.386     14.710      0.300      0.090     46.920      0.040      0.310      0.100      0.090      1.410      0.100
    19.386     14.710      1.310      0.090     45.220      0.060      0.690      0.110      0.090      1.410      0.100
    19.386     18.650      1.300      0.070     45.270      0.020      0.880      0.050      0.120      1.000      0.120
    19.386     20.620      1.260      0.090     45.270      0.030      0.790      0.060      0.150      0.850      0.140
    19.386     22.590      1.200      0.100     45.270      0.030      0.690      0.070      0.160      0.800      0.140
    19.386     24.560      1.260      0.090     45.270      0.020      0.630      0.050      0.130      1.120      0.130
    19.386     26.530      1.320      0.050     45.280      0.010      0.610      0.030      0.080      1.660      0.100
    19.386     28.500      1.220      0.070     45.280      0.020      0.590      0.040      0.100      0.980      0.090
    19.386     28.500      0.470      0.100     46.000      0.030      0.300      0.080      0.100      0.980      0.090
    19.386     30.470      0.790      0.050     45.320      0.040      1.310      0.100      0.110      1.510      0.130
    19.386     32.440      0.680      0.050     45.120      0.050      1.470      0.120      0.110      1.780      0.130
    19.386     34.410      0.570      0.050     44.830      0.070      1.630      0.170      0.130      1.280      0.130
    19.386     40.320      0.490      0.050     45.440      0.080      1.590      0.200      0.120      1.610      0.150
    19.386     42.290      0.420      0.050     45.370      0.080      1.410      0.190      0.110      2.010      0.150
    19.386     50.170      0.380      0.050     45.830      0.120      2.070      0.280      0.120      1.130      0.130
    19.386     52.140      0.450      0.050     46.010      0.100      2.030      0.240      0.120      1.060      0.120
    19.386     54.110      0.560      0.060     46.100      0.090      1.600      0.210      0.150      0.920      0.140
    19.386     56.080      0.680      0.070     46.020      0.060      1.250      0.140      0.140      1.260      0.150
    19.386     58.050      0.700      0.080     45.940      0.060      1.090      0.140      0.150      1.480      0.180
